51300034200,ggg,241,108
51300069778,abd,238,229
51300075340,ebc,46,35
51300093678,eec,115,101
51300127189,dec,183,108
51300133399,dcd,225,41
51300160801,ddb,192,270
51300199772,fgg,15,110
51300221637,bff,16,57
51300351368,dff,252,213
51300356242,ddd,297,105
51300365128,cgd,153,164
51300414436,acb,120,289
51300418922,aec,76,208
51300460579,gbe,244,57
51300469786,dcg,121,234
51300472876,egc,2,171
51300510544,dbg,82,149
51300541502,cbc,165,112
51300555608,fca,97,126
51300570229,gaa,69,136
51300576606,fgb,281,14
51300689089,ebc,25,37
51300695128,eab,276,77
51300722917,dfc,97,294
51300735985,efd,282,186
51300739965,ecc,24,148
51300761151,fcb,98,98
51300761292,eea,57,93
51300799424,bga,103,82
51300853296,cba,74,252
51300861320,gee,191,91
51300867817,eag,263,193
51300932867,cea,251,237
51300949454,eae,137,291
51300990016,gce,185,205
51300999791,edc,79,299
51301026396,eed,204,258
51301056418,ffd,216,176
51301093464,gde,232,58
51301097622,bbc,271,229
51301145321,ecc,105,137
51301151723,gce,139,186
51301187461,ecf,4,249
51301297500,ecd,91,228
51301321686,gaf,105,200
51301325432,ege,102,82
51301335034,fce,229,182
51301347176,bab,124,10
51301381444,ggc,15,169
51301385844,cga,63,60
51301393323,ecg,21,262
51301450701,agf,287,296
51301471168,bcb,285,14
51301505103,acd,93,167
51301546017,cff,217,299
51301564671,efc,268,264
51301596397,fda,115,169
51301688532,edd,26,30
51301732522,dcg,165,212
51301758798,adc,17,173
51301765232,beg,218,71
51301798369,ccc,137,232
51301836188,aea,64,257
51301863902,bca,90,238
51301957442,gca,29,21
51301959498,gec,141,62
51301965471,bfc,99,30
51302068967,def,225,128
51302119099,cfb,198,276
51302173263,bfe,156,23
51302181440,efb,77,166
51302191755,gad,1,10
51302216429,bga,62,76
51302228934,fbe,12,119
51302241088,fbe,110,113
51302268715,dde,256,258
51302286183,cbf,89,69
51302289758,ffa,96,183
51302311558,adg,203,49
51302333900,gfd,165,73
51302357437,fga,56,81
51302387900,edf,281,280
51302422229,ebb,235,73
